SAPID,name,password,role,fullday,halfday,rh,compOff
93681704,Harcourt Balcon,24ef2b3c-d3da-2475-4a8d-94a276b552d8,user,9,9,3,3
37830539,Frazier Harmson,1e1c0c39-f14c-870d-bc05-3a29d3fab5bb,admin,4,7,5,3
43287943,Jackson Mulqueeny,23712e6b-d5f6-e201-dba3-5cf9c8c6e4a3,user,7,10,5,2
61916124,Dulci Physick,6166659a-cdb0-18a0-1c33-0bde93570e46,admin,10,10,3,1
51233927,Esdras O'Neal,6ae775c6-68c2-b9fe-178f-2e29c0cb8952,admin,6,3,3,2
63193975,Goran Scudamore,c984cc43-f9d8-5209-288a-fc4d17028044,user,10,10,3,2
60119103,North Payler,3dc39257-46da-83f3-eb05-f9a180db6e8c,admin,9,10,5,2
87220069,Maxie Dunlop,9aeab3b1-312b-5da8-7bb9-c634e7a2e6da,admin,8,2,5,1
67932832,Guenna Grundy,9536841a-6aef-f28f-de84-c764b9561477,admin,10,10,5,3
27803121,Cassondra Cartmale,0a99c226-db4d-122c-0821-60e805518de2,user,5,10,5,2
33716446,Adriaens Postgate,2d139093-172c-7325-9b9c-15bb00f30db3,user,8,6,3,1
05653352,Louella Dore,17b0c728-c46a-ec4f-1a22-1507f4744a6e,user,9,10,4,2
31138305,Moore Rattry,ef7c9e06-873d-009c-f886-3a22f3391926,admin,8,6,3,2
85193676,Adelle Carrier,f2ac7b9e-54c0-5c37-902a-00208df27285,user,8,7,4,1
62831976,Cesaro Clewley,ee5e2811-3edb-cb70-b3e8-d62611b0d765,admin,5,10,4,3
29873824,Fredrika Havenhand,d261d46e-0668-ea53-3cc2-9dafeb1eed73,admin,4,9,3,1
34531281,Cally Robecon,4fab4237-2720-20b1-13ed-c68cbe21273b,admin,6,3,5,2
14882190,Karlis Maymond,efa52c5c-ddc7-b762-f5c6-f49189c54f84,admin,9,6,5,1
72790597,Dell Goude,962ad7f3-f506-a81f-9516-52b895a1dc65,admin,8,6,4,2
59351338,Ammamaria Allston,aeda62e7-fbde-9ddb-5fbb-f98b3670fa8d,admin,8,10,2,1
37059669,Kenneth Rao,084afea0-d62f-5510-c997-0a0ea716ad71,admin,8,9,2,1
91869080,Ellary Lewson,2ea34d48-ef63-5ed0-ae67-83deb3f7963f,admin,8,4,4,1
56969441,Tanner Polson,56152d73-4d5e-dc44-b774-42df40c3ff43,admin,7,8,5,3
77267958,Fleurette Quantick,4aae837d-30a1-bba7-4b39-a9ebd0851c45,user,8,10,4,3
98890107,Sheff Ferron,ee1c741d-cf71-a305-8c80-63438d71c160,admin,10,6,3,2
74308618,Terrance Gillice,41121739-e4af-3c2d-9ff4-04a48799b65c,admin,5,10,3,1
94871328,Sile MacLese,91c0d6f0-a558-3e45-c313-7faba2bcd097,admin,4,10,2,1
51026663,Caspar Meates,4e096be6-73cf-7429-b8c1-4ff5d79f0512,admin,8,1,2,2
79219873,Monro Conkey,0af1bf1a-b7eb-6a4e-c6da-2d263faa06c4,user,10,9,3,3
70270017,Berton Waddy,babccf71-0985-0c29-d618-12652046692b,admin,9,9,5,2
27530922,Humbert Tuson,d53c7a62-be13-5aec-954c-45b84487da23,user,10,10,3,2
76775581,Henriette Catterell,54d0d8a6-1a12-008b-d89c-014291d42d4c,user,9,3,4,1
19552941,Beaufort Curner,10d0076c-d7c9-d903-4df4-16df0a47c865,admin,8,10,4,1
48770807,Linzy Orrey,0c5beb66-c86b-585d-c66a-db89c5d69153,user,4,9,4,1
00590827,Elna Cummine,95ab1a6e-137c-9baf-bd90-53c4abcab783,user,10,9,4,1
59417214,Gerri Buckie,f9b68b4f-2e84-e027-8ea2-3863928b17a6,admin,4,8,4,3
31126171,Opaline Kinker,3f860375-86ee-fa75-516e-e1cc0c8120ac,admin,10,8,3,1
64140339,Rossie Simonetto,179cab49-2b1b-b8b2-896b-d9b7343f2f30,user,7,10,3,1
03990594,Janette Iliff,7589892d-7202-c4c9-5186-4560ff37077c,admin,9,6,3,1
82924882,Franky Riccione,43e6fe6f-a954-9d79-d7e0-6292f6a80ded,admin,6,8,3,2
76250770,Keely Wield,a1f974ac-6b93-b1e0-8d51-5842b2763df5,admin,9,10,4,1
11860942,Godart Hadrill,0eced8fc-6de5-7870-0ba5-8a5bd8590fe8,admin,10,10,4,1
92064272,Margaux Cupper,3a1923f6-6c5b-84dc-2cfa-8d7153ce0d41,admin,8,9,2,1
80492492,Marga Orgee,04330e97-5edd-e12d-3d80-0473275d90ae,admin,10,10,2,1
22174534,Myrah Maxweell,ba354a5a-a125-5d33-1b45-68e08f8f4395,admin,7,8,4,1
10709775,Carly Cabbell,84a1b7dc-f720-338c-9ad9-1045c079f2a6,admin,6,5,3,2
39103532,Tillie Clethro,27609c4e-02b2-1c91-35d0-7421dc091bb0,admin,9,7,4,1
23884162,Frank Fache,847c6872-cb5f-1e10-1cfc-d5d3cc4e4f52,user,10,6,3,2
14969800,Cecile Shawyers,e5f9b9a4-ef9b-a4f0-25d9-3196bb04cbda,admin,10,7,1,2
19216478,Lisette Norres,b9a8a291-891e-1499-147b-3200415ac24f,admin,8,10,4,1
35227555,Kevyn McCorkindale,55d04c22-8c7f-52d9-2806-f51c8d1702d1,user,9,10,4,2
96160365,Thor Jewsbury,7f36f0e6-6ffe-96e0-59ec-f9aa0d832328,admin,7,10,3,2
77256966,Brandyn Lathan,df857a10-63f2-5be3-722f-b4c52aeb3a7c,user,10,9,2,1
